allocator alloc_sz nallocs ffree thru
halloc 16 4 0.2 965.75
scatter 16 4 0.2 269.91
halloc 16 4 0.21 982.14
scatter 16 4 0.21 268.22
halloc 16 4 0.22 981.53
scatter 16 4 0.22 267.53
halloc 16 4 0.23 981.10
scatter 16 4 0.23 266.25
halloc 16 4 0.24 983.11
scatter 16 4 0.24 267.94
halloc 16 4 0.25 976.61
scatter 16 4 0.25 270.16
halloc 16 4 0.26 975.87
scatter 16 4 0.26 270.08
halloc 16 4 0.27 979.27
scatter 16 4 0.27 268.75
halloc 16 4 0.28 975.02
scatter 16 4 0.28 12.77
halloc 16 4 0.29 977.26
scatter 16 4 0.29 8.99
halloc 16 4 0.3 976.81
scatter 16 4 0.3 8.29
halloc 16 4 0.31 972.75
scatter 16 4 0.31 7.46
halloc 16 4 0.32 975.86
scatter 16 4 0.32 6.54
halloc 16 4 0.33 968.50
scatter 16 4 0.33 6.10
halloc 16 4 0.34 975.61
scatter 16 4 0.34 5.73
halloc 64 1 0.2 800.17
scatter 64 1 0.2 190.13
halloc 64 1 0.21 805.85
scatter 64 1 0.21 188.04
halloc 64 1 0.22 808.36
scatter 64 1 0.22 118.72
halloc 64 1 0.23 804.07
scatter 64 1 0.23 41.38
halloc 64 1 0.24 806.42
scatter 64 1 0.24 30.69
halloc 64 1 0.25 803.27
scatter 64 1 0.25 20.10
halloc 64 1 0.26 801.75
scatter 64 1 0.26 9.43
halloc 64 1 0.27 804.59
scatter 64 1 0.27 8.74
halloc 64 1 0.28 804.18
scatter 64 1 0.28 8.61
halloc 64 1 0.29 798.36
scatter 64 1 0.29 6.93
halloc 64 1 0.3 807.24
scatter 64 1 0.3 6.17
halloc 64 1 0.31 801.66
scatter 64 1 0.31 5.29
halloc 64 1 0.32 801.73
scatter 64 1 0.32 4.42
halloc 64 1 0.33 802.09
scatter 64 1 0.33 3.90
halloc 64 1 0.34 804.09
scatter 64 1 0.34 3.81
