allocator alloc_sz nallocs ntries thru
halloc 16 4 0.25 929.48
scatter 16 4 0.25 252.56
cuda 16 4 0.25 1.13
halloc 16 4 0.26 932.18
scatter 16 4 0.26 251.80
cuda 16 4 0.26 1.11
halloc 16 4 0.27 934.27
scatter 16 4 0.27 253.12
cuda 16 4 0.27 1.10
halloc 16 4 0.28 927.89
scatter 16 4 0.28 255.17
cuda 16 4 0.28 1.10
halloc 16 4 0.29 923.13
scatter 16 4 0.29 251.95
cuda 16 4 0.29 1.10
halloc 16 4 0.3 931.29
scatter 16 4 0.3 8.72
cuda 16 4 0.3 1.08
halloc 16 4 0.31 924.89
scatter 16 4 0.31 9.54
cuda 16 4 0.31 1.08
halloc 16 4 0.32 929.67
scatter 16 4 0.32 7.07
cuda 16 4 0.32 1.08
halloc 16 4 0.33 928.99
scatter 16 4 0.33 6.33
cuda 16 4 0.33 1.04
halloc 16 4 0.34 930.59
scatter 16 4 0.34 6.00
cuda 16 4 0.34 1.02
halloc 64 1 0.25 755.22
scatter 64 1 0.25 169.06
cuda 64 1 0.25 1.39
halloc 64 1 0.26 761.69
scatter 64 1 0.26 171.18
cuda 64 1 0.26 1.40
halloc 64 1 0.27 760.99
scatter 64 1 0.27 168.87
cuda 64 1 0.27 1.40
halloc 64 1 0.28 758.68
scatter 64 1 0.28 169.78
cuda 64 1 0.28 1.41
halloc 64 1 0.29 756.84
scatter 64 1 0.29 167.94
cuda 64 1 0.29 1.32
halloc 64 1 0.3 756.97
scatter 64 1 0.3 155.65
cuda 64 1 0.3 1.36
halloc 64 1 0.31 759.72
scatter 64 1 0.31 165.55
cuda 64 1 0.31 1.41
halloc 64 1 0.32 761.54
scatter 64 1 0.32 69.02
cuda 64 1 0.32 1.40
halloc 64 1 0.33 755.98
scatter 64 1 0.33 32.53
cuda 64 1 0.33 1.33
halloc 64 1 0.34 759.43
scatter 64 1 0.34 25.85
cuda 64 1 0.34 1.32
