allocator alloc_sz nallocs ntries thru
halloc 16 4 65536 1038.58
scatter 16 4 65536 312.89
cuda 16 4 65536 1.22
halloc 16 4 131072 777.01
scatter 16 4 131072 288.14
cuda 16 4 131072 1.21
halloc 16 4 196608 950.07
scatter 16 4 196608 266.85
cuda 16 4 196608 1.15
halloc 16 4 262144 970.49
scatter 16 4 262144 262.20
cuda 16 4 262144 1.13
halloc 16 4 327680 980.67
scatter 16 4 327680 260.94
cuda 16 4 327680 1.10
halloc 16 4 393216 982.32
scatter 16 4 393216 258.07
cuda 16 4 393216 1.11
halloc 16 4 458752 985.25
scatter 16 4 458752 8.09
cuda 16 4 458752 1.09
halloc 16 4 524288 990.09
scatter 16 4 524288 5.23
cuda 16 4 524288 1.09
halloc 16 4 589824 981.62
scatter 16 4 589824 3.81
cuda 16 4 589824 1.06
halloc 16 4 655360 990.06
scatter 16 4 655360 3.15
cuda 16 4 655360 1.09
halloc 64 1 65536 843.04
scatter 64 1 65536 200.29
cuda 64 1 65536 1.35
halloc 64 1 131072 631.26
scatter 64 1 131072 185.52
cuda 64 1 131072 1.42
halloc 64 1 196608 792.66
scatter 64 1 196608 183.51
cuda 64 1 196608 1.42
halloc 64 1 262144 813.74
scatter 64 1 262144 180.21
cuda 64 1 262144 1.40
halloc 64 1 327680 822.22
scatter 64 1 327680 179.32
cuda 64 1 327680 1.37
halloc 64 1 393216 825.92
scatter 64 1 393216 178.73
cuda 64 1 393216 1.41
halloc 64 1 458752 834.72
scatter 64 1 458752 97.93
cuda 64 1 458752 1.40
halloc 64 1 524288 833.25
scatter 64 1 524288 5.73
cuda 64 1 524288 1.39
halloc 64 1 589824 821.45
scatter 64 1 589824 3.27
cuda 64 1 589824 1.38
halloc 64 1 655360 841.57
scatter 64 1 655360 2.60
cuda 64 1 655360 1.41
