allocator alloc_sz nallocs nthreads thru thru_malloc thru_free
halloc 16 4 32768 582.88 1148.37 1170.56
scatter 16 4 32768 242.64 378.89 664.54
halloc 16 4 65536 692.79 1434.93 1325.36
scatter 16 4 65536 208.96 279.20 812.77
halloc 16 4 98304 778.70 1555.26 1542.48
scatter 16 4 98304 173.41 213.45 897.88
halloc 16 4 131072 820.47 1675.85 1590.23
scatter 16 4 131072 165.56 199.19 949.70
halloc 16 4 163840 839.63 1663.55 1676.58
scatter 16 4 163840 158.40 188.19 966.96
halloc 16 4 196608 859.62 1728.21 1691.78
scatter 16 4 196608 161.81 192.78 973.77
halloc 16 4 229376 858.93 1679.86 1737.98
scatter 16 4 229376 11.82 11.91 924.74
halloc 16 4 262144 878.44 1743.46 1751.01
scatter 16 4 262144 10.05 10.10 929.04
halloc 16 4 294912 873.17 1689.71 1786.47
scatter 16 4 294912 8.57 8.60 927.22
halloc 16 4 327680 888.91 1746.14 1790.51
scatter 16 4 327680 7.36 7.37 922.22
halloc 16 4 360448 880.09 1702.67 1801.10
scatter 16 4 360448 6.54 6.55 969.75
halloc 16 4 393216 897.60 1759.63 1811.79
scatter 16 4 393216 1.70 1.69 874.99
halloc 16 4 425984 890.80 1736.49 1808.59
scatter 16 4 425984 1.57 1.57 866.80
halloc 16 4 458752 902.68 1762.44 1829.71
scatter 16 4 458752 1.44 1.44 861.45
halloc 16 4 491520 897.90 1760.65 1811.95
scatter 16 4 491520 1.34 1.34 869.46
halloc 16 4 524288 904.26 1757.47 1841.68
scatter 16 4 524288 1.25 1.25 875.70
halloc 64 1 32768 264.76 545.06 509.37
scatter 64 1 32768 144.38 249.57 338.13
halloc 64 1 65536 355.29 704.23 709.14
scatter 64 1 65536 120.42 166.91 423.98
halloc 64 1 98304 422.67 873.70 810.09
scatter 64 1 98304 79.34 95.71 449.28
halloc 64 1 131072 433.82 858.76 867.03
scatter 64 1 131072 65.71 75.92 469.33
halloc 64 1 163840 479.14 979.71 927.74
scatter 64 1 163840 58.99 66.94 474.54
halloc 64 1 196608 486.36 959.88 974.99
scatter 64 1 196608 54.47 60.80 497.04
halloc 64 1 229376 511.82 1027.94 1008.28
scatter 64 1 229376 60.00 67.87 493.40
halloc 64 1 262144 509.56 999.08 1028.38
scatter 64 1 262144 55.96 62.53 505.97
halloc 64 1 294912 529.46 1047.73 1058.52
scatter 64 1 294912 54.99 61.47 495.84
halloc 64 1 327680 527.56 1027.89 1071.68
scatter 64 1 327680 26.64 27.99 496.47
halloc 64 1 360448 536.32 1055.31 1078.42
scatter 64 1 360448 4.29 4.30 520.49
halloc 64 1 393216 541.58 1055.54 1099.80
scatter 64 1 393216 3.89 3.89 516.27
halloc 64 1 425984 550.98 1076.76 1115.74
scatter 64 1 425984 3.43 3.43 517.92
halloc 64 1 458752 550.90 1070.53 1122.18
scatter 64 1 458752 1.67 1.66 490.60
halloc 64 1 491520 560.27 1093.64 1135.93
scatter 64 1 491520 1.20 1.20 470.31
halloc 64 1 524288 554.49 1068.89 1139.11
scatter 64 1 524288 0.99 0.99 486.98
