alloc_sz nallocs nthreads malloc_min malloc_avg malloc_max free_min free_avg free_max
16 1 1 2972.00 3207.86 4368.00 2305.00 2373.18 2551.00
256 1 1 2934.00 3224.98 4511.00 2311.00 2368.91 2571.00
16 1 2 2972.00 3198.17 4376.00 2314.00 2404.42 2656.00
256 1 2 2966.00 3220.83 4458.00 2316.00 2412.10 2626.00
16 1 4 2960.00 3239.04 4344.00 2359.00 2437.20 2717.00
256 1 4 2994.00 3246.40 4417.00 2352.00 2431.72 2653.00
16 1 8 2970.00 3241.48 4417.00 2364.00 2454.16 2697.00
256 1 8 2984.00 3268.56 4545.00 2368.00 2451.29 2683.00
16 1 16 2995.00 3294.03 4439.00 2415.00 2490.42 2725.00
256 1 16 3015.00 3334.85 4529.00 2420.00 2487.15 2741.00
16 1 32 3115.00 3396.78 4587.00 2450.00 2558.04 2811.00
256 1 32 3074.00 3398.35 4636.00 2446.00 2553.79 2747.00
16 1 64 3086.00 3367.43 4494.00 2439.00 2528.42 2697.00
256 1 64 3040.00 3323.61 4567.00 2446.00 2548.25 2720.00
16 1 128 3091.00 3352.21 4469.00 2422.00 2521.26 2730.00
256 1 128 3006.00 3291.33 4541.00 2422.00 2525.30 2771.00
16 1 256 3074.00 3348.14 4466.00 2421.00 2526.94 2825.00
256 1 256 3006.00 3276.14 4618.00 2422.00 2523.00 2820.00
16 1 512 2999.00 3353.78 4536.00 2423.00 2529.03 3016.00
256 1 512 3002.00 3305.59 4644.00 2426.00 2528.09 2961.00
16 1 1024 2976.00 3305.65 4487.00 2397.00 2510.87 2979.00
256 1 1024 2963.00 3280.18 4585.00 2402.00 2508.92 3017.00
16 1 2048 2739.00 3230.35 4432.00 2309.00 2491.74 3012.00
256 1 2048 2762.00 3226.87 4485.00 2290.00 2490.73 2993.00
16 1 4096 2672.00 3116.17 4331.00 2232.00 2469.39 3092.00
256 1 4096 2707.00 3114.76 4393.00 2239.00 2471.08 3172.00
16 1 8192 2672.00 3239.55 5047.00 2259.00 2562.09 3532.00
256 1 8192 2736.00 3153.77 5625.00 2226.00 2552.30 3386.00
16 1 16384 2714.00 3245.23 5851.00 2226.00 2571.77 4491.00
256 1 16384 2699.00 3252.70 11625.00 2220.00 2560.81 4304.00
16 1 32768 2714.00 3144.57 5898.00 2211.00 2536.63 4290.00
256 1 32768 2700.00 3224.06 11815.00 2231.00 2530.52 4227.00
16 1 65536 2696.00 3091.66 6864.00 2222.00 2513.24 4216.00
256 1 65536 2690.00 3319.24 17560.00 2212.00 2509.81 4153.00
16 1 131072 2684.00 3076.04 6066.00 2216.00 2502.30 4312.00
256 1 131072 2694.00 14290.62 93319.00 2213.00 2837.40 4298.00
16 1 262144 2695.00 3086.04 7505.00 2206.00 2498.02 4430.00
256 1 262144 2669.00 9489.20 160367.00 2216.00 2662.52 5756.00
16 1 524288 2680.00 3131.76 8862.00 2205.00 2495.99 4511.00
256 1 524288 2691.00 23869.21 169962.00 2209.00 3064.15 6876.00
16 1 1048576 2683.00 3244.46 11694.00 2205.00 2495.91 4474.00
256 1 1048576 2664.00 19544.39 193297.00 2209.00 2994.53 7044.00
