alloc_sz nallocs nthreads priv_pair spree_pair spree_malloc spree_free
16 1 32 3.11 0.61 1.17 1.25
16 4 32 4.06 1.74 3.27 3.66
256 1 32 3.21 0.60 1.16 1.24
16 1 64 5.97 1.19 2.30 2.43
16 4 64 7.97 3.33 6.28 7.01
256 1 64 6.32 1.20 2.31 2.47
16 1 128 11.79 2.40 4.66 4.90
16 4 128 15.42 6.76 12.75 14.22
256 1 128 12.63 2.68 5.15 5.51
16 1 256 23.68 5.37 10.36 11.00
16 4 256 30.63 14.45 27.15 30.53
256 1 256 24.64 5.37 10.19 11.20
16 1 512 44.59 7.66 15.00 15.49
16 4 512 59.58 22.65 43.36 46.87
256 1 512 46.30 7.58 14.56 15.62
16 1 1024 89.53 15.43 30.34 31.04
16 4 1024 118.87 45.02 86.98 92.29
256 1 1024 92.89 15.51 30.41 31.31
16 1 2048 177.10 30.63 60.00 61.87
16 4 2048 236.00 89.26 172.32 183.08
256 1 2048 184.24 30.54 59.76 61.75
16 1 4096 347.55 59.95 119.07 119.41
16 4 4096 458.70 172.43 335.65 350.60
256 1 4096 361.17 61.05 120.40 122.48
16 1 8192 667.23 118.77 234.67 237.82
16 4 8192 879.54 336.12 650.60 687.53
256 1 8192 692.55 120.26 237.31 241.12
16 1 16384 758.85 205.24 392.85 424.84
16 4 16384 932.55 501.49 928.16 1077.97
256 1 16384 788.59 190.48 351.94 410.25
16 1 32768 1012.49 347.03 654.60 729.97
16 4 32768 1218.44 753.21 1373.81 1647.22
256 1 32768 621.78 312.41 557.77 701.38
16 1 65536 1214.44 546.46 1026.08 1155.39
16 4 65536 1431.13 887.71 1712.50 1822.22
256 1 65536 454.22 419.25 675.25 1089.95
16 1 131072 1334.22 677.16 1276.19 1425.88
16 4 131072 1552.65 1064.33 2039.86 2200.11
256 1 131072 506.78 530.69 862.80 1359.21
16 1 262144 1366.82 792.88 1562.20 1592.19
16 4 262144 1544.41 1151.00 2176.99 2413.93
256 1 262144 421.84 610.48 998.63 1548.64
16 1 524288 1380.35 895.23 1767.78 1793.64
16 4 524288 1457.55 1193.52 2213.27 2559.74
256 1 524288 268.46 626.00 974.51 1723.85
16 1 1048576 1366.76 940.35 1818.48 1925.30
16 4 1048576 1396.75 1220.92 2269.06 2611.85
256 1 1048576 190.58 557.76 807.69 1770.94
