slab_size busy nallocs alloc_sz throughput speed
1 0.745 4 16 790.94 11.79
1 0.745 1 256 63.69 15.18
1 0.755 4 16 766.97 11.43
1 0.755 1 256 62.58 14.92
1 0.765 4 16 734.24 10.94
1 0.765 1 256 61.34 14.62
1 0.775 4 16 700.92 10.44
1 0.775 1 256 60.49 14.42
1 0.785 4 16 650.87 9.70
1 0.785 1 256 59.28 14.13
1 0.795 4 16 631.60 9.41
1 0.795 1 256 58.33 13.91
1 0.805 4 16 598.71 8.92
1 0.805 1 256 57.26 13.65
1 0.815 4 16 588.60 8.77
1 0.815 1 256 56.50 13.47
1 0.825 4 16 582.45 8.68
1 0.825 1 256 55.55 13.25
1 0.835 4 16 562.80 8.39
1 0.835 1 256 54.62 13.02
1 0.845 4 16 552.97 8.24
1 0.845 1 256 53.93 12.86
1 0.855 4 16 541.86 8.07
1 0.855 1 256 52.95 12.62
1 0.865 4 16 518.40 7.72
1 0.865 1 256 52.29 12.47
1 0.875 4 16 503.94 7.51
1 0.875 1 256 51.45 12.27
1 0.885 4 16 492.24 7.33
1 0.885 1 256 50.52 12.04
1 0.895 4 16 477.56 7.12
1 0.895 1 256 49.95 11.91
1 0.905 4 16 454.56 6.77
1 0.905 1 256 49.01 11.69
1 0.915 4 16 439.89 6.55
1 0.915 1 256 48.18 11.49
1 0.925 4 16 407.78 6.08
1 0.925 1 256 47.37 11.29
1 0.935 4 16 386.45 5.76
1 0.935 1 256 46.34 11.05
1 0.945 4 16 352.93 5.26
1 0.945 1 256 45.21 10.78
2 0.745 4 16 1659.80 24.73
2 0.745 1 256 135.43 32.29
2 0.755 4 16 1648.31 24.56
2 0.755 1 256 134.08 31.97
2 0.765 4 16 1654.13 24.65
2 0.765 1 256 132.29 31.54
2 0.775 4 16 1642.42 24.47
2 0.775 1 256 130.57 31.13
2 0.785 4 16 1627.11 24.25
2 0.785 1 256 128.94 30.74
2 0.795 4 16 1617.80 24.11
2 0.795 1 256 126.37 30.13
2 0.805 4 16 1565.50 23.33
2 0.805 1 256 124.88 29.77
2 0.815 4 16 1503.71 22.41
2 0.815 1 256 122.79 29.28
2 0.825 4 16 1472.17 21.94
2 0.825 1 256 121.02 28.85
2 0.835 4 16 1410.87 21.02
2 0.835 1 256 119.01 28.37
