block priv_speed priv_thru spree_speed spree_speed_malloc speed_thru speed_thru_malloc
16 15.54 1042.72 13.78 26.42 924.80 1773.24
24 17.62 788.14 19.46 35.80 870.67 1601.58
32 30.20 1013.47 26.09 50.01 875.39 1678.22
48 28.49 637.29 36.00 65.29 805.31 1460.48
64 27.71 464.93 41.36 72.51 693.88 1216.44
96 52.56 587.92 48.36 77.90 540.92 871.31
128 41.74 350.14 55.43 89.53 464.97 751.04
192 63.23 353.63 46.01 61.62 257.29 344.58
256 61.38 257.45 56.03 69.53 234.99 291.65
384 47.81 133.68 61.68 72.58 172.48 202.94
512 47.98 100.62 79.39 93.84 166.50 196.79
768 51.96 72.64 71.02 78.97 99.30 110.40
1024 57.27 60.06 79.61 87.48 83.48 91.73
1536 67.61 47.26 74.09 79.04 51.79 55.26
2048 66.63 34.93 84.09 89.39 44.09 46.86
3072 63.84 22.31 79.67 83.32 27.85 29.12
